# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
643054b1fc3be59477853717-6154a863e3e4d9577f96b31a | Nosey Escándalos
643054b1fc3be59477853717-6164a963766ab4f9f57e81b1 | Camp Spoopy
643054b1fc3be59477853717-616df1be2cf008a748c8cb53 | SLOPES
643054b1fc3be59477853717-618ab2f275913b296fbe56dd | Eddie's Wonderland
643054b1fc3be59477853717-6196c8c01d310bf925e02615 | Music Legends
643054b1fc3be59477853717-6196c9241d310bf925e02616 | Lone Star
643054b1fc3be59477853717-61a945156547ba4d6d238dc9 | Racing America
643054b1fc3be59477853717-61aa97d4113e1e5137fd5325 | Stingray Greatest Hits
643054b1fc3be59477853717-61aa9e73784a2161d3caf7f9 | Hot Country
643054b1fc3be59477853717-61aa9f50784a2161d3caf7fb | Remember the ‘80s
643054b1fc3be59477853717-61aaa014784a2161d3caf7fd | Hit List
643054b1fc3be59477853717-61aaa0cc784a2161d3caf7ff | Classic Rock
643054b1fc3be59477853717-61aaa17a784a2161d3caf801 | Soul Storm
643054b1fc3be59477853717-61d738b5a7b7c7f703418514 | Trailers From Hell
643054b1fc3be59477853717-61d73ab0a7b7c7f703418516 | Bloomberg TV
643054b1fc3be59477853717-61d73c3ca7b7c7f703418518 | Bloomberg Originals
643054b1fc3be59477853717-61e9d9979da6ee6e05278269 | Wellbeing TV
643054b1fc3be59477853717-621670feab2095ca85353ad4 | XFC TV
643054b1fc3be59477853717-62167144ab2095ca85353ad6 | CINEPRIDE
643054b1fc3be59477853717-621671d05abdd3d5556a1baf | Watch it SCREAM
643054b1fc3be59477853717-6216723e2c2627c068e73ad4 | Dungeon TV
643054b1fc3be59477853717-621672612c2627c068e73ad6 | Watch it Kid
643054b1fc3be59477853717-621672e42c2627c068e73ad8 | Galxy TV
643054b1fc3be59477853717-621674502c2627c068e73ada | FrightFlix
643054b1fc3be59477853717-621674f168c966be92737ce6 | El Conflicto TV
643054b1fc3be59477853717-6216ae22c3bbca2de8704f65 | Sports Illustrated TV
643054b1fc3be59477853717-6245cd154f27f4e9c76d67e9 | Euronews Portuguese
643054b1fc3be59477853717-6245efe9f137de43897ea1ae | Euronews Deutsch
643054b1fc3be59477853717-6245f06793b402a3d1097787 | Euronews Français
643054b1fc3be59477853717-6245f13093b402a3d1097789 | Euronews Italiano
643054b1fc3be59477853717-626c1753ffda6789d20a452e | COPS
643054b1fc3be59477853717-627ec46a92d8e6a705784bd1 | Ninja Kidz TV
643054b1fc3be59477853717-62ab5aabbb869dd0df6a3487 | TED
643054b1fc3be59477853717-62ba4aaff663580a7238f327 | Sonic TV
643054b1fc3be59477853717-62d1a58e520656fda09e609d | Shemaroo Bollywood
643054b1fc3be59477853717-62d7f68fb19cbf65dc7bef7c | Qello Concerts
643054b1fc3be59477853717-62d7f68fb19cbf65dc7bef7d | Stingray Classica Stream
643054b1fc3be59477853717-62d7f6904d0067dd4d60d0de | Stingray Karaoke
643054b1fc3be59477853717-62ee6eae271f393d2d9f7096 | Today's K-Pop
643054b1fc3be59477853717-62ee72cc271f393d2d9f7098 | Y2K
643054b1fc3be59477853717-62ee74af52f7d73061eec491 | Euro Hits
643054b1fc3be59477853717-62ee76b5271f393d2d9f709a | Easy Listening
643054b1fc3be59477853717-62ee784852f7d73061eec493 | Smooth Jazz
643054b1fc3be59477853717-62ee7992271f393d2d9f709c | Pop Adult
643054b1fc3be59477853717-62ee7ae2271f393d2d9f709e | Hip-Hop/R&amp;B
643054b1fc3be59477853717-62efba6588a16bb7d6b6fb58 | Éxitos del Momento
643054b1fc3be59477853717-62efbb8652f7d73061eec498 | Alternative
643054b1fc3be59477853717-62f11395586633e88e3a3274 | The Spa
643054b1fc3be59477853717-62f13eeded056a1db9ef3d54 | Nothin' But 90s
643054b1fc3be59477853717-62f15810a3ffe928ef806c75 | Flashback 70s
643054b1fc3be59477853717-62fbf197c67d52bddf74cc87 | Movie Music by Stingray
643054b1fc3be59477853717-62fbf36c1567211fdb82e920 | Stingray Naturescape
643054b1fc3be59477853717-62ffc5cfa6cad6f2991745c2 | FUEL TV
643054b1fc3be59477853717-630fa9e577ec3866def38fa2 | Women's Sports Network
643054b1fc3be59477853717-631bbc79a273cc38add9e5e1 | Cine Clasico
643054b1fc3be59477853717-631bbf79a273cc38add9e5e3 | FreeTV Estelar
643054b1fc3be59477853717-6322658be67cf9cd9011fcda | TRACE Urban
643054b1fc3be59477853717-63226c03e67cf9cd9011fcdf | TRACE Latina
643054b1fc3be59477853717-6329474265c8569187176338 | TRACE Brazuca
643054b1fc3be59477853717-6334a8e48a7b2a349d903b8c | Billiard TV
643054b1fc3be59477853717-63489a771159f6a5ce819b7b | Grjngo - Western Movies
643054b1fc3be59477853717-6349ed0eb1adc4cfa571fd37 | SPEEDVISION
643054b1fc3be59477853717-634dddc8a319c6df243f521f | Desi Play TV
643054b1fc3be59477853717-63504925a97bd70eaef54f01 | ACL Cornhole TV
643054b1fc3be59477853717-635195e9ccee3e1547a8831a | Farscape
643054b1fc3be59477853717-635c61cc797a33fa4193cc93 | Cosmic Frontiers
643054b1fc3be59477853717-63628eb88e4b18ca22f897dc | PursuitUP
643054b1fc3be59477853717-6365779dde08f8eec6c3f21f | CraftsyTV
643054b1fc3be59477853717-63894c1965b848bf2c8a7800 | 5-Minute Crafts
643054b1fc3be59477853717-639ba57d3f4612cc150a5723 | Pitufo TV
643054b1fc3be59477853717-63d08694ab0965e49583e3b2 | Funny Or Die, Inc.
643054b1fc3be59477853717-63d6f6c5a9e88ee909e7ee1f | Brat TV
643054b1fc3be59477853717-63ec0b739866d8d2120ac759 | PickleTV
643054b1fc3be59477853717-63eecb32ac23d1ee072087cb | 123GO!
643054b1fc3be59477853717-63f0ca427b78030ed9990309 | CombaTV
643054b1fc3be59477853717-63f914bffe2c3d32e1a7929f | GLORY Kickboxing
643054b1fc3be59477853717-640205c68ecb41f2d89d5814 | The Ed Sullivan Show
