# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Thu Oct  2 00:14:35 UTC 2025

60fb053712f22a0007ff14d2 | Transformers TV
60fb299b79498900070b29e0 | CBS News Miami
60fb2f47c133270007327375 | Cine aventura
6127e12ed140e900077e7b6f | Teen Mom
61325c4f982acd000723287e | Classic TV Crime Drama
61325d18f5166c00081b84e0 | Classic TV: Families
613260e4bdb71c00070d63fa | More TV Drama
6132619f9ddaa50007e7dd86 | More TV Sitcoms
61326275b3c86a00078e4833 | BET Throwbacks
615b8ec39e878900073f419a | Antiques Road Trip
6176f39e709f160007ec61c3 | 48 Hours
6176fd25e83a5f0007a464c9 | Bounce XL
617b37b361e0fd0008cfd8c5 | Pluto TV Reaction
6197086891ddd4000739941a | Perry Mason
61b3b8c645b45d0007a9bb8d | Blue Bloods
61d4b38226b8a50007fe03a6 | Vevo Rock
61d4c2817a823d00070ba53e | Vevo True School Hip-Hop
61e9af6bfbbcc6000700119b | WeatherNation Los Angeles
61f07513227feb00073ee6bc | Heartland
61f33318210549000806a530 | Classic Movie Westerns
620bfa7df72827000703ddb1 | Stargate
623a1b5188ecdc0007c9ef5a | XITE Rock x Metal
623b92a2ccefed0007b1db48 | XITE Classic Country
623b93628e6ded0007337d4d | XITE Gospel
6267352efcf21c0007c76642 | Let's Make A Deal
627d355aa95efd00077afcc7 | Cheaters
6283d51144ad8f0007fa382d | The Judge Judy Channel
628e685ba3811100070551a8 | Hallmark Movies &amp; More
62ba60f059624e000781c436 | 00s Replay
62f2ce24f328e00007e7f55a | Stories by AMC
62f54c11b3af68000702c304 | CSI: Miami
62f54c6439183b000769fb8f | CSI: NY
62fa8176b9884200074ef5ae | The Walking Dead Universe
632b5950b515b000079e6b81 | CSI: Miami en español
632b606e12a67b0007c9e371 | CSI: NY en español
632b619c8d2a6c0007ff534e | KIRO Seattle
633354b63df9700007f6a1b7 | Sitcom Legends
63335b193583440007c859fb | Movie Favorites By Lifetime
6334a574605f140007e233c4 | PFL MMA
634dacf51d90320007fcd5fa | Star Trek Voyager
634ee8f95aa9870007248333 | Confess by Nosey
634f24cf3ce5fa0007c68f39 | CBS News Detroit
634f2610d5023700078f7dee | CBS News Detroit
634f3011f4fff20007431641 | I Love Lucy
634f307c7a068e00072c9982 | Rawhide
636adc255bcf470007d6e0e2 | Top Gear
636c2b3c55d2e700074105c4 | PBS Antiques Roadshow
637413d8531e0c0007442d6d | Dateline 24/7
637e55347427a40007fac703 | Sailor Moon
63a0e33a45264d000850ed7e | Golazo Network
63b48016d9dd51000828fa37 | POWERNATION
63d025db4e83e700086eaa96 | LiveNOW from FOX
63d0269d60bc8f000890facc | FOX Deportes
6400f731d200410008f9b339 | MotorTrend FAST TV
640a64bd73e013000893d4e0 | PBS Nature
640a68880e884c0009979cc2 | FOX Weather
643f035d5a0cd50008361534 | The Price Is Right
643f03b9d8436e0008edf021 | Family Feud Classic
6450209d939a5900084dba1d | iCarly TV
6452c77ed3fdde00080eb3a8 | 90s Kids TV 2
6452c814939a590008567a3b | 90's Kids
645e7828e1979c00087b75b4 | MovieSphere by Lionsgate
649b6898f2ec0000081a9460 | DAZN Ringside
649ddbfb6f29ec000874ca9e | Supermarket Sweep
64b585f84ea480000838e446 | Pluto TV Icons
64b9671cdac71b0008f371df | Cine Clásico
64d1606b4c5ed80008e3b8b9 | Dynasty
64d160f53c785e0008df525e | Top Rank Classics
64d161c93c785e0008df575e | Vevo Íconos Latinos
64d2b6bf9b414d0008187d83 | Real Disaster Channel
64dab1f835425100080e1e7b | Acapulco Shore
64dab5fe35425100080e2991 | Vevo Regional Mexicano
64dab9df3d48f40008868091 | The Jamie Oliver Channel
64e561a4354251000823a0e0 | Ghost Hunters
65033c4b98020f0008547124 | S.W.A.T.
6508be683a0d700008c534e4 | ABC News Live
650b68bc2ce8e40008ac9c14 | FanDuel TV Extra
651f239d9c7aeb0008286823 | Dating Disasters
65244c403fd33c0008ffff31 | Car Chase
6532e6a9bdf3cf000887ab29 | More True Crime
6532e7b290a74c00084a3bb6 | Hallmark en español
