# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
66275e41cee0d900085fde6e | The Love Boat
66275eed5e23700008f8c8f9 | Melrose Place
66276091cee0d900085fe053 | Sabrina The Teenage Witch
6627621d56fc840008e47c90 | Tennis Channel
6627623e307fa3000810b66e | Ninja Warrior
664c94e80120f40008b860f0 | POP
667ac79c15f35c00088a2409 | Outback Truckers
667d664815f35c00089489bf | Corner Gas
6683cd71a1d7ad000866ec6a | Pokémon
6695294632e25300084bb61b | Sister, Sister
66a10eacfe11e500084c6925 | Flashpoint
66a10eeb46762a0008201e85 | Teletubbies
66ba1e23d2d50d00084a1e57 | Crimes That Shook Britain
66ba1e4446762a000855cd87 | Girlfriends
66c45afaa72e7b0008a2b153 | CNNi
66d717d2abec540008ba7ec4 | Pluto TV 80's Action
66d82143abec540008bd2b1c | Project Runway
66d885aef0f17500084b6750 | PGA TOUR
66dff9d46ad04d0008fda4de | CNN Headlines
66e06576abec540008cc17a9 | The Graham Norton Show
66ebf9bc55567d0008de3b29 | The Hotel Inspector
66ed3e9d5e4a6e0008b346e0 | UFC
66f12a69913b8e0008cc7365 | Mutant X
66f1331f9409630008077623 | Earth: Final Conflict
66f135b45e4a6e0008b80606 | Antiques Road Trip
66f137cb483d460008ece053 | Rugby Pass TV
66fd37885049580008d295b6 | AWSN
67063e78b2ffb10008195d08 | MODUS Super Series Darts
677fb08f5b68381e2dbfd5af | The Bionic Woman
677fb0b33a225c2d0d8a17be | Xena: Warrior Princess
677fb0e93a225c2d0d8a45bf | Northern Exposure
677fb115a4af36ad50113e56 | The Real Housewives
677fb137a5d8215f99b9cc06 | Top Chef
677fb3432952c1163bf1a539 | Million Dollar Listing
680bb31c56ff83bcd685d64e | Farscape
682453731295f98347e92da8 | River Monsters
68503cfda1e091e16f000625 | 7th Heaven
68503d1736c9361b191e7d89 | Gunsmoke
68503d3bc692373f0158c43f | Hawaii Five-O
68503d585965a2fd49fc2f0b | MacGyver
68503da136c9361b191f9366 | Rawhide
6850408053d981d1fdb01696 | Taxi
68504098f212bedacf63a7e1 | Touched by an Angel
685041d936c9361b1921c26c | Pluto TV Fantasy &amp; Horror
6850426e53d981d1fdb0d966 | Matlock
6852811933a52de120f8b89d | Mayday Air Disaster
